"Tabela 1736 - INPC - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de abril/1979)"
"Brasil"
"Mês";"Variável";""
"janeiro 2012";"INPC - Variação acumulada em 3 meses (%)";"1,60"
"abril 2012";"INPC - Variação acumulada em 3 meses (%)";"1,21"
"julho 2012";"INPC - Variação acumulada em 3 meses (%)";"1,24"
"outubro 2012";"INPC - Variação acumulada em 3 meses (%)";"1,80"
"janeiro 2013";"INPC - Variação acumulada em 3 meses (%)";"2,22"
"abril 2013";"INPC - Variação acumulada em 3 meses (%)";"1,72"
"julho 2013";"INPC - Variação acumulada em 3 meses (%)";"0,50"
"outubro 2013";"INPC - Variação acumulada em 3 meses (%)";"1,04"
"janeiro 2014";"INPC - Variação acumulada em 3 meses (%)";"1,90"
"abril 2014";"INPC - Variação acumulada em 3 meses (%)";"2,26"
"julho 2014";"INPC - Variação acumulada em 3 meses (%)";"0,99"
"outubro 2014";"INPC - Variação acumulada em 3 meses (%)";"1,05"
"janeiro 2015";"INPC - Variação acumulada em 3 meses (%)";"2,65"
"abril 2015";"INPC - Variação acumulada em 3 meses (%)";"3,42"
"julho 2015";"INPC - Variação acumulada em 3 meses (%)";"2,36"
"outubro 2015";"INPC - Variação acumulada em 3 meses (%)";"1,54"
"janeiro 2016";"INPC - Variação acumulada em 3 meses (%)";"3,56"
"abril 2016";"INPC - Variação acumulada em 3 meses (%)";"2,04"
"julho 2016";"INPC - Variação acumulada em 3 meses (%)";"2,10"
"outubro 2016";"INPC - Variação acumulada em 3 meses (%)";"0,56"
"janeiro 2017";"INPC - Variação acumulada em 3 meses (%)";"0,63"
"abril 2017";"INPC - Variação acumulada em 3 meses (%)";"0,64"
"julho 2017";"INPC - Variação acumulada em 3 meses (%)";"0,23"
"outubro 2017";"INPC - Variação acumulada em 3 meses (%)";"0,32"
"janeiro 2018";"INPC - Variação acumulada em 3 meses (%)";"0,67"
"abril 2018";"INPC - Variação acumulada em 3 meses (%)";"0,46"
"julho 2018";"INPC - Variação acumulada em 3 meses (%)";"2,12"
"outubro 2018";"INPC - Variação acumulada em 3 meses (%)";"0,70"
"janeiro 2019";"INPC - Variação acumulada em 3 meses (%)";"0,25"
"abril 2019";"INPC - Variação acumulada em 3 meses (%)";"1,92"
"julho 2019";"INPC - Variação acumulada em 3 meses (%)";"0,26"
"outubro 2019";"INPC - Variação acumulada em 3 meses (%)";"0,11"
"janeiro 2020";"INPC - Variação acumulada em 3 meses (%)";"1,96"
"abril 2020";"INPC - Variação acumulada em 3 meses (%)";"0,12"
"julho 2020";"INPC - Variação acumulada em 3 meses (%)";"0,49"
"outubro 2020";"INPC - Variação acumulada em 3 meses (%)";"2,13"
"janeiro 2021";"INPC - Variação acumulada em 3 meses (%)";"2,70"
"abril 2021";"INPC - Variação acumulada em 3 meses (%)";"2,07"
"julho 2021";"INPC - Variação acumulada em 3 meses (%)";"2,60"
"outubro 2021";"INPC - Variação acumulada em 3 meses (%)";"3,27"
"janeiro 2022";"INPC - Variação acumulada em 3 meses (%)";"2,26"
"abril 2022";"INPC - Variação acumulada em 3 meses (%)";"3,80"
"julho 2022";"INPC - Variação acumulada em 3 meses (%)";"0,47"
"outubro 2022";"INPC - Variação acumulada em 3 meses (%)";"-0,16"
"janeiro 2023";"INPC - Variação acumulada em 3 meses (%)";"1,54"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor"

"Notas"
"1 - Período de coleta ajustado ao mês civil (do primeiro ao trigésimo dia de cada mês), para os meses anteriores a março de 1986."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
